contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA240315C00005000,NVDA,2024-03-15,5.00,call,875.30,874.67,871.80,40,877.55,40,140,1474,2024-03-14,9.99024,1.00000,0.00000,-0.00073,0.00000,0.00014
NVDA240315P00005000,NVDA,2024-03-15,5.00,put,0.01,0.01,0.00,0,0.01,455,1,808,2024-03-14,9.99024,0.00000,0.00000,-0.00000,0.00000,-0.00000
NVDA240315C00010000,NVDA,2024-03-15,10.00,call,863.70,869.85,864.90,5,874.80,40,9,32,2024-03-14,9.99024,1.00000,0.00000,-0.00146,0.00000,0.00027
NVDA240315P00010000,NVDA,2024-03-15,10.00,put,0.01,0.01,0.00,0,0.01,250,0,6700,2024-03-14,9.99024,0.00000,0.00000,-0.00000,0.00000,-0.00000
NVDA240315C00015000,NVDA,2024-03-15,15.00,call,883.73,865.42,859.60,40,871.25,40,1,77,2024-03-14,9.99024,1.00000,0.00000,-0.00219,0.00000,0.00041
NVDA240315P00015000,NVDA,2024-03-15,15.00,put,0.01,0.01,0.00,0,0.01,250,0,208,2024-03-14,9.99024,-0.00000,0.00000,-0.00000,0.00000,-0.00000
NVDA240315C00020000,NVDA,2024-03-15,20.00,call,849.40,858.90,852.25,1,865.55,40,5,83,2024-03-14,0.01976,1.00000,0.00000,-0.00292,0.00000,0.00055
NVDA240315P00020000,NVDA,2024-03-15,20.00,put,0.01,0.01,0.00,0,0.01,250,1,7,2024-03-14,9.99024,-0.00000,0.00000,-0.00000,0.00000,-0.00000
NVDA240315C00025000,NVDA,2024-03-15,25.00,call,844.40,854.40,851.20,1,857.60,40,10,159,2024-03-14,0.01976,1.00000,0.00000,-0.00365,0.00000,0.00068
NVDA240315P00025000,NVDA,2024-03-15,25.00,put,0.01,0.01,0.00,0,0.01,250,1,20,2024-03-14,9.99024,-0.00000,0.00000,-0.00000,0.00000,-0.00000
NVDA240315C00030000,NVDA,2024-03-15,30.00,call,846.70,851.02,844.05,40,858.00,1,2,35,2024-03-14,9.99024,1.00000,0.00000,-0.00438,0.00000,0.00082
NVDA240315P00030000,NVDA,2024-03-15,30.00,put,0.01,0.01,0.00,0,0.01,285,0,73,2024-03-14,9.99024,-0.00000,0.00000,-0.00000,0.00000,-0.00000
NVDA240315C00035000,NVDA,2024-03-15,35.00,call,763.10,845.00,840.00,1,850.00,1,0,40,2024-03-14,9.99024,1.00000,0.00000,-0.00511,0.00000,0.00096
NVDA240315P00035000,NVDA,2024-03-15,35.00,put,0.01,0.01,0.00,0,0.01,250,0,11,2024-03-14,9.99024,-0.00000,0.00000,-0.00000,0.00000,-0.00000
NVDA240315C00040000,NVDA,2024-03-15,40.00,call,685.62,840.00,836.20,1,843.80,1,0,2,2024-03-14,9.99024,1.00000,0.00000,-0.00584,0.00000,0.00110
NVDA240315P00040000,NVDA,2024-03-15,40.00,put,0.04,0.01,0.00,0,0.01,250,0,46,2024-03-14,9.99024,-0.00000,0.00000,-0.00000,0.00000,-0.00000
NVDA240315C00045000,NVDA,2024-03-15,45.00,call,861.00,835.33,830.90,40,839.75,5,0,1,2024-03-14,9.99024,1.00000,0.00000,-0.00657,0.00000,0.00123
NVDA240315P00045000,NVDA,2024-03-15,45.00,put,0.03,0.01,0.00,0,0.01,35,0,16,2024-03-14,9.99024,-0.00000,0.00000,-0.00000,0.00000,-0.00000
NVDA240315C00050000,NVDA,2024-03-15,50.00,call,826.00,829.58,823.70,1,835.45,40,7,2,2024-03-14,9.99024,1.00000,0.00000,-0.00731,0.00000,0.00137
NVDA240315P00050000,NVDA,2024-03-15,50.00,put,0.01,0.01,0.00,0,0.01,35,5,699,2024-03-14,9.99024,-0.00000,0.00000,-0.00001,0.00000,-0.00000
NVDA240315C00055000,NVDA,2024-03-15,55.00,call,0.00,824.55,820.30,5,828.80,5,0,0,2024-03-14,9.99024,1.00000,0.00000,-0.00805,0.00000,0.00151
NVDA240315P00055000,NVDA,2024-03-15,55.00,put,0.01,0.01,0.00,0,0.01,35,0,165,2024-03-14,9.99024,-0.00000,0.00000,-0.00002,0.00000,-0.00000
NVDA240315C00060000,NVDA,2024-03-15,60.00,call,635.85,819.77,815.75,1,823.80,1,0,19,2024-03-14,9.99024,1.00000,0.00000,-0.00880,0.00000,0.00164
NVDA240315P00060000,NVDA,2024-03-15,60.00,put,0.02,0.01,0.00,0,0.01,35,0,667,2024-03-14,9.99024,-0.00000,0.00000,-0.00004,0.00000,-0.00000
NVDA240315C00065000,NVDA,2024-03-15,65.00,call,809.33,814.77,811.25,40,818.30,40,0,57,2024-03-14,9.99024,1.00000,0.00000,-0.00959,0.00000,0.00178
NVDA240315P00065000,NVDA,2024-03-15,65.00,put,0.01,0.01,0.00,0,0.01,35,0,29,2024-03-14,9.99024,-0.00000,0.00000,-0.00010,0.00000,-0.00000
NVDA240315C00070000,NVDA,2024-03-15,70.00,call,805.00,810.58,805.30,40,815.85,40,0,4,2024-03-14,9.99024,1.00000,0.00000,-0.01043,0.00000,0.00192
NVDA240315P00070000,NVDA,2024-03-15,70.00,put,0.01,0.01,0.00,0,0.01,35,0,1056,2024-03-14,9.99024,-0.00000,0.00000,-0.00020,0.00000,-0.00000
NVDA240315C00075000,NVDA,2024-03-15,75.00,call,614.79,804.58,798.70,40,810.45,40,0,1,2024-03-14,9.99024,1.00000,0.00000,-0.01135,0.00000,0.00205
NVDA240315P00075000,NVDA,2024-03-15,75.00,put,0.01,0.01,0.00,0,0.01,111,0,1729,2024-03-14,9.99024,-0.00000,0.00000,-0.00040,0.00000,-0.00000
NVDA240315C00080000,NVDA,2024-03-15,80.00,call,817.20,800.10,796.40,1,803.80,1,0,4,2024-03-14,9.99024,1.00000,0.00000,-0.01241,0.00000,0.00219
NVDA240315P00080000,NVDA,2024-03-15,80.00,put,0.02,0.01,0.00,0,0.01,200,0,318,2024-03-14,9.99024,-0.00000,0.00000,-0.00073,0.00000,-0.00000
NVDA240315C00085000,NVDA,2024-03-15,85.00,call,599.85,793.02,786.25,2,799.80,40,0,3,2024-03-14,0.01976,1.00000,0.00000,-0.01241,0.00000,0.00233
NVDA240315P00085000,NVDA,2024-03-15,85.00,put,0.01,0.01,0.00,0,0.01,209,0,114,2024-03-14,9.99024,-0.00000,0.00000,-0.00127,0.00000,-0.00000
NVDA240315C00090000,NVDA,2024-03-15,90.00,call,710.65,790.53,786.20,40,794.85,5,0,2,2024-03-14,9.99024,1.00000,0.00000,-0.01526,0.00000,0.00247
NVDA240315P00090000,NVDA,2024-03-15,90.00,put,0.01,0.01,0.00,0,0.01,200,0,103,2024-03-14,9.99024,-0.00000,0.00000,-0.00212,0.00000,-0.00000
NVDA240315C00095000,NVDA,2024-03-15,95.00,call,0.00,784.52,780.25,5,788.80,1,0,0,2024-03-14,9.99024,1.00000,0.00000,-0.01727,0.00001,0.00260
NVDA240315P00095000,NVDA,2024-03-15,95.00,put,0.01,0.01,0.00,0,0.01,200,1,173,2024-03-14,9.99024,-0.00000,0.00000,-0.00340,0.00001,-0.00000
NVDA240315C00100000,NVDA,2024-03-15,100.00,call,776.93,780.10,776.40,1,783.80,1,24,36,2024-03-14,9.99024,1.00000,0.00000,-0.01986,0.00001,0.00274
NVDA240315P00100000,NVDA,2024-03-15,100.00,put,0.01,0.01,0.00,0,0.01,209,0,1524,2024-03-14,9.99024,-0.00000,0.00000,-0.00526,0.00001,-0.00000
NVDA240315C00105000,NVDA,2024-03-15,105.00,call,510.30,774.45,769.45,5,779.45,5,0,48,2024-03-14,0.01976,1.00000,0.00000,-0.01533,0.00000,0.00288
NVDA240315P00105000,NVDA,2024-03-15,105.00,put,0.01,0.01,0.00,0,0.01,209,0,121,2024-03-14,9.99024,-0.00001,0.00000,-0.00792,0.00002,-0.00000
NVDA240315C00110000,NVDA,2024-03-15,110.00,call,788.59,770.00,763.80,40,776.20,1,0,23,2024-03-14,9.99024,0.99999,0.00000,-0.02765,0.00002,0.00301
NVDA240315P00110000,NVDA,2024-03-15,110.00,put,0.01,0.01,0.00,0,0.01,200,0,102,2024-03-14,9.99024,-0.00001,0.00000,-0.01158,0.00002,-0.00000
NVDA240315C00115000,NVDA,2024-03-15,115.00,call,568.77,764.97,758.80,40,771.15,1,0,32,2024-03-14,9.99024,0.99998,0.00000,-0.03334,0.00003,0.00315
NVDA240315P00115000,NVDA,2024-03-15,115.00,put,0.01,0.01,0.00,0,0.01,209,0,493,2024-03-14,9.99024,-0.00002,0.00000,-0.01655,0.00003,-0.00000
NVDA240315C00120000,NVDA,2024-03-15,120.00,call,727.73,760.12,756.25,1,764.00,1,0,18,2024-03-14,9.99024,0.99998,0.00000,-0.04065,0.00005,0.00329
NVDA240315P00120000,NVDA,2024-03-15,120.00,put,0.01,0.01,0.00,0,0.01,200,0,2265,2024-03-14,9.99024,-0.00002,0.00000,-0.02312,0.00005,-0.00000
NVDA240315C00125000,NVDA,2024-03-15,125.00,call,752.71,754.90,750.00,1,759.80,40,1,11,2024-03-14,9.99024,0.99997,0.00000,-0.04993,0.00006,0.00342
NVDA240315P00125000,NVDA,2024-03-15,125.00,put,0.01,0.01,0.00,0,0.01,200,0,183,2024-03-14,9.99024,-0.00003,0.00000,-0.03168,0.00006,-0.00000
NVDA240315C00130000,NVDA,2024-03-15,130.00,call,720.16,749.97,745.90,40,754.05,1,0,19,2024-03-14,9.99024,0.99996,0.00000,-0.06160,0.00009,0.00356
NVDA240315P00130000,NVDA,2024-03-15,130.00,put,0.01,0.01,0.00,0,0.01,200,0,859,2024-03-14,9.99024,-0.00004,0.00000,-0.04262,0.00009,-0.00000
NVDA240315C00135000,NVDA,2024-03-15,135.00,call,764.95,744.90,741.00,40,748.80,1,0,20,2024-03-14,9.99024,0.99994,0.00000,-0.07611,0.00011,0.00370
NVDA240315P00135000,NVDA,2024-03-15,135.00,put,0.02,0.01,0.00,0,0.01,200,0,223,2024-03-14,9.99024,-0.00006,0.00000,-0.05640,0.00011,-0.00000
NVDA240315C00140000,NVDA,2024-03-15,140.00,call,723.07,739.55,735.30,1,743.80,1,0,36,2024-03-14,9.99024,0.99992,0.00000,-0.09395,0.00015,0.00383
NVDA240315P00140000,NVDA,2024-03-15,140.00,put,0.02,0.01,0.00,0,0.01,200,0,233,2024-03-14,9.99024,-0.00008,0.00000,-0.07351,0.00015,-0.00000
NVDA240315C00145000,NVDA,2024-03-15,145.00,call,716.05,735.20,728.40,1,742.00,40,0,70,2024-03-14,9.99024,0.99990,0.00000,-0.11567,0.00019,0.00397
NVDA240315P00145000,NVDA,2024-03-15,145.00,put,0.01,0.01,0.00,0,0.01,200,0,549,2024-03-14,9.81464,-0.00008,0.00000,-0.07500,0.00015,-0.00000
NVDA240315C00150000,NVDA,2024-03-15,150.00,call,731.92,730.45,724.60,40,736.30,1,0,133,2024-03-14,9.99024,0.99987,0.00000,-0.14184,0.00024,0.00411
NVDA240315P00150000,NVDA,2024-03-15,150.00,put,0.01,0.01,0.00,0,0.01,200,0,1047,2024-03-14,9.61952,-0.00008,0.00000,-0.07386,0.00015,-0.00000
NVDA240315C00155000,NVDA,2024-03-15,155.00,call,714.69,724.60,720.40,5,728.80,1,0,33,2024-03-14,9.99024,0.99983,0.00000,-0.17306,0.00030,0.00424
NVDA240315P00155000,NVDA,2024-03-15,155.00,put,0.01,0.01,0.00,0,0.01,200,0,120,2024-03-14,9.44392,-0.00009,0.00000,-0.07406,0.00016,-0.00000
NVDA240315C00160000,NVDA,2024-03-15,160.00,call,713.65,719.70,715.20,1,724.20,1,2,21,2024-03-14,9.99024,0.99978,0.00000,-0.20998,0.00037,0.00438
NVDA240315P00160000,NVDA,2024-03-15,160.00,put,0.02,0.01,0.00,0,0.01,200,0,267,2024-03-14,9.28782,-0.00009,0.00000,-0.07572,0.00016,-0.00000
NVDA240315C00165000,NVDA,2024-03-15,165.00,call,653.35,714.95,708.70,1,721.20,1,0,32,2024-03-14,9.99024,0.99973,0.00000,-0.25327,0.00046,0.00451
NVDA240315P00165000,NVDA,2024-03-15,165.00,put,0.01,0.01,0.00,0,0.01,200,0,200,2024-03-14,9.11222,-0.00009,0.00000,-0.07473,0.00016,-0.00000
NVDA240315C00170000,NVDA,2024-03-15,170.00,call,698.50,710.33,704.60,40,716.05,5,0,67,2024-03-14,9.99024,0.99967,0.00000,-0.30363,0.00056,0.00465
NVDA240315P00170000,NVDA,2024-03-15,170.00,put,0.01,0.01,0.00,0,0.01,200,0,814,2024-03-14,8.95612,-0.00009,0.00000,-0.07529,0.00017,-0.00000
NVDA240315C00175000,NVDA,2024-03-15,175.00,call,694.90,704.77,700.75,5,708.80,5,0,42,2024-03-14,9.99024,0.99959,0.00000,-0.36175,0.00067,0.00478
NVDA240315P00175000,NVDA,2024-03-15,175.00,put,0.03,0.01,0.00,0,0.01,200,0,1750,2024-03-14,8.80003,-0.00009,0.00000,-0.07532,0.00017,-0.00000
NVDA240315C00180000,NVDA,2024-03-15,180.00,call,682.50,700.05,696.40,5,703.70,5,0,25,2024-03-14,9.99024,0.99951,0.00000,-0.42838,0.00081,0.00492
NVDA240315P00180000,NVDA,2024-03-15,180.00,put,0.01,0.01,0.00,0,0.01,200,0,707,2024-03-14,8.64394,-0.00009,0.00000,-0.07483,0.00017,-0.00000
NVDA240315C00185000,NVDA,2024-03-15,185.00,call,703.97,694.90,689.90,1,699.90,1,0,90,2024-03-14,9.99024,0.99941,0.00000,-0.50424,0.00096,0.00505
NVDA240315P00185000,NVDA,2024-03-15,185.00,put,0.01,0.01,0.00,0,0.01,209,0,1111,2024-03-14,8.48784,-0.00010,0.00000,-0.07383,0.00017,-0.00000
NVDA240315C00190000,NVDA,2024-03-15,190.00,call,689.45,690.00,685.90,40,694.10,1,1,54,2024-03-14,9.99024,0.99929,0.00001,-0.59006,0.00113,0.00518
NVDA240315P00190000,NVDA,2024-03-15,190.00,put,0.01,0.01,0.00,0,0.01,200,0,259,2024-03-14,8.35126,-0.00010,0.00000,-0.07462,0.00018,-0.00000
NVDA240315C00195000,NVDA,2024-03-15,195.00,call,681.71,684.45,679.80,1,689.10,1,1,31,2024-03-14,0.01976,1.00000,0.00000,-0.02847,0.00000,0.00534
NVDA240315P00195000,NVDA,2024-03-15,195.00,put,0.01,0.01,0.00,0,0.01,200,0,452,2024-03-14,8.21468,-0.00010,0.00000,-0.07497,0.00018,-0.00000
NVDA240315C00200000,NVDA,2024-03-15,200.00,call,673.65,679.60,675.90,40,683.30,40,1,142,2024-03-14,9.89269,0.99909,0.00001,-0.72964,0.00142,0.00545
NVDA240315P00200000,NVDA,2024-03-15,200.00,put,0.01,0.01,0.00,0,0.01,209,0,3380,2024-03-14,8.07810,-0.00010,0.00000,-0.07489,0.00019,-0.00000
NVDA240315C00205000,NVDA,2024-03-15,205.00,call,684.41,674.70,669.70,1,679.70,1,0,91,2024-03-14,9.99024,0.99884,0.00001,-0.91471,0.00177,0.00558
NVDA240315P00205000,NVDA,2024-03-15,205.00,put,0.01,0.01,0.00,0,0.01,200,0,873,2024-03-14,7.94151,-0.00010,0.00000,-0.07437,0.00019,-0.00000
NVDA240315C00210000,NVDA,2024-03-15,210.00,call,723.48,669.92,665.80,40,674.05,1,0,60,2024-03-14,9.99024,0.99865,0.00001,-1.04773,0.00204,0.00571
NVDA240315P00210000,NVDA,2024-03-15,210.00,put,0.01,0.01,0.00,0,0.01,200,0,673,2024-03-14,7.80493,-0.00010,0.00000,-0.07343,0.00019,-0.00000
NVDA240315C00215000,NVDA,2024-03-15,215.00,call,657.00,664.17,659.60,40,668.75,1,1,95,2024-03-14,0.01976,1.00000,0.00000,-0.03139,0.00000,0.00589
NVDA240315P00215000,NVDA,2024-03-15,215.00,put,0.02,0.01,0.00,0,0.01,200,0,404,2024-03-14,7.68786,-0.00011,0.00000,-0.07455,0.00019,-0.00000
NVDA240315C00220000,NVDA,2024-03-15,220.00,call,660.96,659.92,656.05,40,663.80,1,7,101,2024-03-14,9.99024,0.99820,0.00001,-1.35512,0.00265,0.00598
NVDA240315P00220000,NVDA,2024-03-15,220.00,put,0.03,0.01,0.00,0,0.01,200,0,1140,2024-03-14,7.57079,-0.00011,0.00000,-0.07532,0.00020,-0.00000
NVDA240315C00225000,NVDA,2024-03-15,225.00,call,675.58,655.05,650.05,1,660.05,5,0,83,2024-03-14,9.99024,0.99794,0.00001,-1.53081,0.00300,0.00610
NVDA240315P00225000,NVDA,2024-03-15,225.00,put,0.01,0.01,0.00,0,0.01,200,0,782,2024-03-14,7.43421,-0.00011,0.00000,-0.07317,0.00020,-0.00000
NVDA240315C00230000,NVDA,2024-03-15,230.00,call,671.44,649.80,644.80,1,654.80,1,0,117,2024-03-14,9.83415,0.99790,0.00001,-1.53113,0.00305,0.00624
NVDA240315P00230000,NVDA,2024-03-15,230.00,put,0.01,0.01,0.00,0,0.01,209,0,1734,2024-03-14,7.31714,-0.00011,0.00000,-0.07319,0.00020,-0.00000
NVDA240315C00235000,NVDA,2024-03-15,235.00,call,638.12,645.00,641.20,5,648.80,5,0,129,2024-03-14,9.99024,0.99733,0.00002,-1.92926,0.00379,0.00636
NVDA240315P00235000,NVDA,2024-03-15,235.00,put,0.01,0.01,0.00,0,0.01,200,0,574,2024-03-14,7.21958,-0.00012,0.00000,-0.07552,0.00021,-0.00000
